config,language,tau,wer,cer,wer_before,cer_before
joint_adapter_on_sei,sei,0.0,0.6325855093784479,0.16494991830645733,0.6325855093784479,0.16494991830645733
joint_adapter_on_sei,sei,0.3,0.6289076866495035,0.16963841727640833,0.6325855093784479,0.16494991830645733
joint_adapter_on_sei,sei,0.5,0.6200809121000368,0.18256730837536406,0.6325855093784479,0.16494991830645733
joint_adapter_on_sei,sei,0.7,0.6149319602795146,0.19748525964338992,0.6325855093784479,0.16494991830645733
joint_adapter_on_sei,sei,1.0,0.6189775652813534,0.21098245364779428,0.6325855093784479,0.16494991830645733
joint_adapter_on_ncx,ncx,0.0,0.6685962373371924,0.1569989929506546,0.6685962373371924,0.1569989929506546
joint_adapter_on_ncx,ncx,0.3,0.6635311143270622,0.15709969788519637,0.6685962373371924,0.1569989929506546
joint_adapter_on_ncx,ncx,0.5,0.6555716353111433,0.16173212487411884,0.6685962373371924,0.1569989929506546
joint_adapter_on_ncx,ncx,0.7,0.6476121562952243,0.16787512588116818,0.6685962373371924,0.1569989929506546
joint_adapter_on_ncx,ncx,1.0,0.6526772793053546,0.17502517623363545,0.6685962373371924,0.1569989929506546
